ax,ay,az
-976,-916,14764
-1408,-3084,14824
-1048,-1452,16140
-1388,-1484,15952
-1576,-1676,14780
-744,-892,15064
-632,544,14856
-256,640,15364
-668,472,15296
-568,1064,15356
-560,656,15296
-580,796,14976
-512,948,15300
-776,800,15292
-936,696,15244
-1420,700,15084
-1864,560,14524
-1608,1916,14600
-1064,764,13960
-576,780,13280
-1428,1812,13396
-2276,172,13660
-3288,-1380,14744
-1920,-1552,16496
-3048,-268,16096
-3840,-1940,15180
-1632,636,15608
-2920,-1008,14368
-3624,-648,14824
-952,-2092,14788
-2776,-4564,13908
-1920,-3416,14120
-2028,376,14104
-3108,648,14228
-2940,-5656,15896
-2824,-588,15852
-2168,1124,15756
-4200,-2200,13476
-3532,-2044,12812
-2580,-624,13512
-2920,492,14356
-2688,960,15592
-2436,76,16900
-2524,1472,18452
-2100,3628,16992
-4808,1576,12208
-3280,1288,11344
-2400,1348,13196
-3152,1872,13692
-2712,1172,14568
-3780,1228,14172
-4772,4108,14260
-4048,4376,13828
-2820,3784,15744
-3064,5416,19004
-5708,5688,15424
-3668,5004,13944
-5580,2700,11296
-3820,4416,13220
-2456,5108,16360
-3224,4408,14932
-4232,3152,13316
-4296,2240,13408
-2908,1932,15292
-2172,2516,15108
-3260,2992,14336
-3672,1812,13068
-1288,544,13644
-2068,1740,14016
-3840,3440,14180
-3360,4120,15240
-2856,1436,16312
628,440,16544
548,2604,16980
-4240,-28,14396
-2332,-892,13664
-1776,-40,13764
-940,652,14576
-716,108,15256
-516,1900,15492
-1116,2028,14676
-304,252,15616
-1096,224,15368
176,-1820,16420
2008,1672,16560
-228,2248,13412
592,684,13380
-236,1148,13360
1696,3156,14536
492,5620,13580
-1116,5160,11272
-5396,-6316,12024
1276,212,19084
-256,2672,14676
2724,4544,19148
1892,11656,14472
-2576,1212,13784
-2388,-6448,11396
-604,-2832,11656
2260,4448,15196
2876,6936,16584
5528,-4260,19184
-708,280,14472
2012,-3576,14908
-1112,1472,15564
-1720,2672,14348
-1708,444,14216
-2848,-1684,14844
-2460,-832,15156
-4624,-4624,12964
-4984,-8364,11700
-1300,-7356,16464
-1628,-7716,16084
-2284,-7080,13920
-732,-5216,13984
-756,-5480,13556
676,-5780,15608
284,-5844,16252
132,-5560,16312
-588,-4652,15432
